land,productSlug,productSlugPath,originalImageUrl,uploadsRel,expectedSourcePath,sourcePath,resolvedFromOtherProduct,targetPath,newUrlPath,status,error
"engeland","noord-west-engeland-golf","golfreizen/engeland/noord-west-engeland-golf","https://authentic.golf/wp-content/uploads/2016/08/AG13-e1470243290362.png","2016/08/AG13-e1470243290362.png","product-media/golfreizen/engeland/noord-west-engeland-golf/2016/08/AG13-e1470243290362.png","product-media/golfreizen/engeland/noord-west-engeland-golf/2016/08/AG13-e1470243290362.png","false","product-media-seo-v2/golfreizen/engeland/noord-west-engeland-golf/2016/08/engeland-noord-west-engeland-golf-ag13-e1470243290362.png","/product-media-seo-v2/golfreizen/engeland/noord-west-engeland-golf/2016/08/engeland-noord-west-engeland-golf-ag13-e1470243290362.png","copied",""
"engeland","noord-west-engeland-golf","golfreizen/engeland/noord-west-engeland-golf","https://authentic.golf/wp-content/uploads/2018/03/timthumb-2.php_.jpeg","2018/03/timthumb-2.php_.jpeg","product-media/golfreizen/engeland/noord-west-engeland-golf/2018/03/timthumb-2.php_.jpeg","product-media/golfreizen/engeland/noord-west-engeland-golf/2018/03/timthumb-2.php_.jpeg","false","product-media-seo-v2/golfreizen/engeland/noord-west-engeland-golf/2018/03/engeland-noord-west-engeland-golf-timthumb-2-php.jpeg","/product-media-seo-v2/golfreizen/engeland/noord-west-engeland-golf/2018/03/engeland-noord-west-engeland-golf-timthumb-2-php.jpeg","copied",""
"engeland","noord-west-engeland-golf","golfreizen/engeland/noord-west-engeland-golf","https://authentic.golf/wp-content/uploads/2018/03/royal-birkdale-9.jpg","2018/03/royal-birkdale-9.jpg","product-media/golfreizen/engeland/noord-west-engeland-golf/2018/03/royal-birkdale-9.jpg","product-media/golfreizen/engeland/noord-west-engeland-golf/2018/03/royal-birkdale-9.jpg","false","product-media-seo-v2/golfreizen/engeland/noord-west-engeland-golf/2018/03/engeland-noord-west-engeland-golf-royal-birkdale-9.jpg","/product-media-seo-v2/golfreizen/engeland/noord-west-engeland-golf/2018/03/engeland-noord-west-engeland-golf-royal-birkdale-9.jpg","copied",""
"engeland","noord-west-engeland-golf","golfreizen/engeland/noord-west-engeland-golf","https://authentic.golf/wp-content/uploads/2018/03/CIMG1020-1-e1519927861994.jpg","2018/03/CIMG1020-1-e1519927861994.jpg","product-media/golfreizen/engeland/noord-west-engeland-golf/2018/03/CIMG1020-1-e1519927861994.jpg","product-media/golfreizen/engeland/noord-west-engeland-golf/2018/03/CIMG1020-1-e1519927861994.jpg","false","product-media-seo-v2/golfreizen/engeland/noord-west-engeland-golf/2018/03/engeland-noord-west-engeland-golf-cimg1020-1-e1519927861994.jpg","/product-media-seo-v2/golfreizen/engeland/noord-west-engeland-golf/2018/03/engeland-noord-west-engeland-golf-cimg1020-1-e1519927861994.jpg","missing","source_missing"
"engeland","noord-west-engeland-golf","golfreizen/engeland/noord-west-engeland-golf","https://authentic.golf/wp-content/uploads/2018/03/CIMG1032-1-e1519926499921.jpg","2018/03/CIMG1032-1-e1519926499921.jpg","product-media/golfreizen/engeland/noord-west-engeland-golf/2018/03/CIMG1032-1-e1519926499921.jpg","product-media/golfreizen/engeland/noord-west-engeland-golf/2018/03/CIMG1032-1-e1519926499921.jpg","false","product-media-seo-v2/golfreizen/engeland/noord-west-engeland-golf/2018/03/engeland-noord-west-engeland-golf-cimg1032-1-e1519926499921.jpg","/product-media-seo-v2/golfreizen/engeland/noord-west-engeland-golf/2018/03/engeland-noord-west-engeland-golf-cimg1032-1-e1519926499921.jpg","copied",""
"engeland","noord-west-engeland-golf","golfreizen/engeland/noord-west-engeland-golf","https://authentic.golf/wp-content/uploads/2018/03/MA-Hole-12-Green-e1520372828387.jpg","2018/03/MA-Hole-12-Green-e1520372828387.jpg","product-media/golfreizen/engeland/noord-west-engeland-golf/2018/03/MA-Hole-12-Green-e1520372828387.jpg","product-media/golfreizen/engeland/noord-west-engeland-golf/2018/03/MA-Hole-12-Green-e1520372828387.jpg","false","product-media-seo-v2/golfreizen/engeland/noord-west-engeland-golf/2018/03/engeland-noord-west-engeland-golf-ma-hole-12-green-e1520372828387.jpg","/product-media-seo-v2/golfreizen/engeland/noord-west-engeland-golf/2018/03/engeland-noord-west-engeland-golf-ma-hole-12-green-e1520372828387.jpg","copied",""
"engeland","noord-west-engeland-golf","golfreizen/engeland/noord-west-engeland-golf","https://authentic.golf/wp-content/uploads/2018/03/Formby-GC.jpeg","2018/03/Formby-GC.jpeg","product-media/golfreizen/engeland/noord-west-engeland-golf/2018/03/Formby-GC.jpeg","product-media/golfreizen/engeland/noord-west-engeland-golf/2018/03/Formby-GC.jpeg","false","product-media-seo-v2/golfreizen/engeland/noord-west-engeland-golf/2018/03/engeland-noord-west-engeland-golf-formby-gc.jpeg","/product-media-seo-v2/golfreizen/engeland/noord-west-engeland-golf/2018/03/engeland-noord-west-engeland-golf-formby-gc.jpeg","copied",""
"engeland","noord-west-engeland-golf","golfreizen/engeland/noord-west-engeland-golf","https://authentic.golf/wp-content/uploads/2018/03/1_27.jpg","2018/03/1_27.jpg","product-media/golfreizen/engeland/noord-west-engeland-golf/2018/03/1_27.jpg","product-media/golfreizen/engeland/noord-west-engeland-golf/2018/03/1_27.jpg","false","product-media-seo-v2/golfreizen/engeland/noord-west-engeland-golf/2018/03/engeland-noord-west-engeland-golf-1-27.jpg","/product-media-seo-v2/golfreizen/engeland/noord-west-engeland-golf/2018/03/engeland-noord-west-engeland-golf-1-27.jpg","copied",""
"engeland","noord-west-engeland-golf","golfreizen/engeland/noord-west-engeland-golf","https://authentic.golf/wp-content/uploads/2016/08/slider-5-e1513012122506.jpg","2016/08/slider-5-e1513012122506.jpg","product-media/golfreizen/engeland/noord-west-engeland-golf/2016/08/slider-5-e1513012122506.jpg","product-media/golfreizen/engeland/noord-west-engeland-golf/2016/08/slider-5-e1513012122506.jpg","false","product-media-seo-v2/golfreizen/engeland/noord-west-engeland-golf/2016/08/engeland-noord-west-engeland-golf-slider-5-e1513012122506.jpg","/product-media-seo-v2/golfreizen/engeland/noord-west-engeland-golf/2016/08/engeland-noord-west-engeland-golf-slider-5-e1513012122506.jpg","copied",""
"engeland","noord-west-engeland-golf","golfreizen/engeland/noord-west-engeland-golf","https://authentic.golf/wp-content/uploads/2018/03/exec-double-300-x-163.jpg","2018/03/exec-double-300-x-163.jpg","product-media/golfreizen/engeland/noord-west-engeland-golf/2018/03/exec-double-300-x-163.jpg","product-media/golfreizen/engeland/noord-west-engeland-golf/2018/03/exec-double-300-x-163.jpg","false","product-media-seo-v2/golfreizen/engeland/noord-west-engeland-golf/2018/03/engeland-noord-west-engeland-golf-exec-double-300-x-163.jpg","/product-media-seo-v2/golfreizen/engeland/noord-west-engeland-golf/2018/03/engeland-noord-west-engeland-golf-exec-double-300-x-163.jpg","missing","source_missing"
"engeland","suffolk-golf","golfreizen/engeland/suffolk-golf","https://authentic.golf/wp-content/uploads/2016/08/AG13-e1470243290362.png","2016/08/AG13-e1470243290362.png","product-media/golfreizen/engeland/suffolk-golf/2016/08/AG13-e1470243290362.png","product-media/golfreizen/engeland/suffolk-golf/2016/08/AG13-e1470243290362.png","false","product-media-seo-v2/golfreizen/engeland/suffolk-golf/2016/08/engeland-suffolk-golf-ag13-e1470243290362.png","/product-media-seo-v2/golfreizen/engeland/suffolk-golf/2016/08/engeland-suffolk-golf-ag13-e1470243290362.png","copied",""
"engeland","suffolk-golf","golfreizen/engeland/suffolk-golf","https://authentic.golf/wp-content/uploads/2018/10/IMG_5572-1-e1538838703104.jpg","2018/10/IMG_5572-1-e1538838703104.jpg","product-media/golfreizen/engeland/suffolk-golf/2018/10/IMG_5572-1-e1538838703104.jpg","product-media/golfreizen/engeland/suffolk-golf/2018/10/IMG_5572-1-e1538838703104.jpg","false","product-media-seo-v2/golfreizen/engeland/suffolk-golf/2018/10/engeland-suffolk-golf-img-5572-1-e1538838703104.jpg","/product-media-seo-v2/golfreizen/engeland/suffolk-golf/2018/10/engeland-suffolk-golf-img-5572-1-e1538838703104.jpg","copied",""
"engeland","suffolk-golf","golfreizen/engeland/suffolk-golf","https://authentic.golf/wp-content/uploads/2018/08/Thorpeness-Golf-Course-wide-13.jpg","2018/08/Thorpeness-Golf-Course-wide-13.jpg","product-media/golfreizen/engeland/suffolk-golf/2018/08/Thorpeness-Golf-Course-wide-13.jpg","product-media/golfreizen/engeland/suffolk-golf/2018/08/Thorpeness-Golf-Course-wide-13.jpg","false","product-media-seo-v2/golfreizen/engeland/suffolk-golf/2018/08/engeland-suffolk-golf-thorpeness-golf-course-wide-13.jpg","/product-media-seo-v2/golfreizen/engeland/suffolk-golf/2018/08/engeland-suffolk-golf-thorpeness-golf-course-wide-13.jpg","missing","source_missing"
"engeland","suffolk-golf","golfreizen/engeland/suffolk-golf","https://authentic.golf/wp-content/uploads/2018/10/IMG_5431-1-e1538838869668.jpg","2018/10/IMG_5431-1-e1538838869668.jpg","product-media/golfreizen/engeland/suffolk-golf/2018/10/IMG_5431-1-e1538838869668.jpg","product-media/golfreizen/engeland/suffolk-golf/2018/10/IMG_5431-1-e1538838869668.jpg","false","product-media-seo-v2/golfreizen/engeland/suffolk-golf/2018/10/engeland-suffolk-golf-img-5431-1-e1538838869668.jpg","/product-media-seo-v2/golfreizen/engeland/suffolk-golf/2018/10/engeland-suffolk-golf-img-5431-1-e1538838869668.jpg","copied",""
"engeland","suffolk-golf","golfreizen/engeland/suffolk-golf","https://authentic.golf/wp-content/uploads/2018/06/14th-HC-1-1-e1528991811667.jpg","2018/06/14th-HC-1-1-e1528991811667.jpg","product-media/golfreizen/engeland/suffolk-golf/2018/06/14th-HC-1-1-e1528991811667.jpg","product-media/golfreizen/engeland/suffolk-golf/2018/06/14th-HC-1-1-e1528991811667.jpg","false","product-media-seo-v2/golfreizen/engeland/suffolk-golf/2018/06/engeland-suffolk-golf-14th-hc-1-1-e1528991811667.jpg","/product-media-seo-v2/golfreizen/engeland/suffolk-golf/2018/06/engeland-suffolk-golf-14th-hc-1-1-e1528991811667.jpg","copied",""
"engeland","suffolk-golf","golfreizen/engeland/suffolk-golf","https://authentic.golf/wp-content/uploads/2018/06/Felixstowe_Aerial01-1-e1528058585209.jpg","2018/06/Felixstowe_Aerial01-1-e1528058585209.jpg","product-media/golfreizen/engeland/suffolk-golf/2018/06/Felixstowe_Aerial01-1-e1528058585209.jpg","product-media/golfreizen/engeland/suffolk-golf/2018/06/Felixstowe_Aerial01-1-e1528058585209.jpg","false","product-media-seo-v2/golfreizen/engeland/suffolk-golf/2018/06/engeland-suffolk-golf-felixstowe-aerial01-1-e1528058585209.jpg","/product-media-seo-v2/golfreizen/engeland/suffolk-golf/2018/06/engeland-suffolk-golf-felixstowe-aerial01-1-e1528058585209.jpg","copied",""
"engeland","suffolk-golf","golfreizen/engeland/suffolk-golf","https://authentic.golf/wp-content/uploads/2018/08/apts-Country-Club-outside.jpg","2018/08/apts-Country-Club-outside.jpg","product-media/golfreizen/engeland/suffolk-golf/2018/08/apts-Country-Club-outside.jpg","product-media/golfreizen/engeland/suffolk-golf/2018/08/apts-Country-Club-outside.jpg","false","product-media-seo-v2/golfreizen/engeland/suffolk-golf/2018/08/engeland-suffolk-golf-apts-country-club-outside.jpg","/product-media-seo-v2/golfreizen/engeland/suffolk-golf/2018/08/engeland-suffolk-golf-apts-country-club-outside.jpg","copied",""
"engeland","suffolk-golf","golfreizen/engeland/suffolk-golf","https://authentic.golf/wp-content/uploads/2018/06/Martello-bedroom-1-e1528996107132.jpg","2018/06/Martello-bedroom-1-e1528996107132.jpg","product-media/golfreizen/engeland/suffolk-golf/2018/06/Martello-bedroom-1-e1528996107132.jpg","product-media/golfreizen/engeland/suffolk-golf/2018/06/Martello-bedroom-1-e1528996107132.jpg","false","product-media-seo-v2/golfreizen/engeland/suffolk-golf/2018/06/engeland-suffolk-golf-martello-bedroom-1-e1528996107132.jpg","/product-media-seo-v2/golfreizen/engeland/suffolk-golf/2018/06/engeland-suffolk-golf-martello-bedroom-1-e1528996107132.jpg","copied",""
"engeland","hampshire-golf","golfreizen/engeland/hampshire-golf","https://authentic.golf/wp-content/uploads/2016/08/AG13-e1470243290362.png","2016/08/AG13-e1470243290362.png","product-media/golfreizen/engeland/hampshire-golf/2016/08/AG13-e1470243290362.png","product-media/golfreizen/engeland/hampshire-golf/2016/08/AG13-e1470243290362.png","false","product-media-seo-v2/golfreizen/engeland/hampshire-golf/2016/08/engeland-hampshire-golf-ag13-e1470243290362.png","/product-media-seo-v2/golfreizen/engeland/hampshire-golf/2016/08/engeland-hampshire-golf-ag13-e1470243290362.png","copied",""
"engeland","dorset-golf","golfreizen/engeland/dorset-golf","https://authentic.golf/wp-content/uploads/2016/08/AG13-e1470243290362.png","2016/08/AG13-e1470243290362.png","product-media/golfreizen/engeland/dorset-golf/2016/08/AG13-e1470243290362.png","product-media/golfreizen/engeland/dorset-golf/2016/08/AG13-e1470243290362.png","false","product-media-seo-v2/golfreizen/engeland/dorset-golf/2016/08/engeland-dorset-golf-ag13-e1470243290362.png","/product-media-seo-v2/golfreizen/engeland/dorset-golf/2016/08/engeland-dorset-golf-ag13-e1470243290362.png","copied",""
